date,variable,value
2011-06-01,retail_sales_nominal,102.35030385814791
2011-06-01,ipc,99.6200573221084
2011-07-01,industrial_production,98.27782982168607
2011-07-01,retail_sales_nominal,89.04916680927447
2011-07-01,ipc,98.4767071552931
2011-08-01,industrial_production,105.05411096798206
2011-08-01,retail_sales_nominal,103.17203547506932
2011-08-01,ipc,99.58699706200079
2011-09-01,industrial_production,100.73136447363152
2011-09-01,retail_sales_nominal,98.4926238074201
2011-09-01,ipc,106.42513086921792
2011-10-01,industrial_production,103.10911735921349
2011-10-01,retail_sales_nominal,102.05591574302002
2011-10-01,ipc,106.6662615121635
2011-11-01,industrial_production,92.2858903646398
2011-11-01,retail_sales_nominal,104.7640433778678
2011-11-01,ipc,100.24171109909662
2011-12-01,industrial_production,99.0279069083615
2011-12-01,retail_sales_nominal,99.38411485329844
2011-12-01,ipc,100.64662696307518
2012-01-01,industrial_production,109.6386139482293
2012-01-01,retail_sales_nominal,100.07728663316519
2012-01-01,ipc,104.53630308803052
2012-02-01,industrial_production,101.9617121936986
2012-02-01,retail_sales_nominal,97.30584964788218
2012-02-01,ipc,98.39245209953495
2012-03-01,industrial_production,95.40945377552168
2012-03-01,retail_sales_nominal,104.52987193580755
2012-03-01,ipc,91.16164574766846
2012-04-01,industrial_production,97.2597073912011
2012-04-01,retail_sales_nominal,101.59930338480895
2012-04-01,ipc,99.4916281853586
2012-05-01,industrial_production,96.08399543112766
2012-05-01,retail_sales_nominal,104.8331092660209
2012-05-01,ipc,98.83136286633754
2012-06-01,industrial_production,97.0215706077426
2012-06-01,retail_sales_nominal,105.182254899241
2012-06-01,ipc,102.86832990011919
2012-07-01,industrial_production,99.69327331690373
2012-07-01,retail_sales_nominal,93.4446758393458
2012-07-01,ipc,94.07024143111437
2012-08-01,industrial_production,105.93390312241868
2012-08-01,retail_sales_nominal,96.92543760600915
2012-08-01,ipc,106.51141971759567
2012-09-01,industrial_production,97.8211814102575
2012-09-01,retail_sales_nominal,97.78765509504672
2012-09-01,ipc,103.49102522302626
2012-10-01,industrial_production,98.03580639872764
2012-10-01,retail_sales_nominal,90.28571463495938
2012-10-01,ipc,98.30489812459193
2012-11-01,industrial_production,98.55530899868349
2012-11-01,retail_sales_nominal,104.500056205487
2012-11-01,ipc,95.97514387405984
2012-12-01,industrial_production,101.70754318468089
2012-12-01,retail_sales_nominal,102.72579290019223
2012-12-01,ipc,96.45605840771304
2013-01-01,industrial_production,103.74763033492742
2013-01-01,retail_sales_nominal,97.88178611299364
2013-01-01,ipc,95.17286879827991
2013-02-01,industrial_production,108.95200740553454
2013-02-01,retail_sales_nominal,95.93622723404332
2013-02-01,ipc,103.38595815112924
2013-03-01,industrial_production,91.5129120609983
2013-03-01,retail_sales_nominal,107.76979381350426
2013-03-01,ipc,105.13692193536114
2013-04-01,industrial_production,106.2250024818573
2013-04-01,retail_sales_nominal,98.79433518057797
2013-04-01,ipc,100.89583943151115
2013-05-01,industrial_production,99.27640478386522
2013-05-01,retail_sales_nominal,107.86091507987138
2013-05-01,ipc,107.776353098627
2013-06-01,industrial_production,91.61221967221688
2013-06-01,retail_sales_nominal,93.59305809042895
2013-06-01,ipc,94.02114806913883
2013-07-01,industrial_production,104.26716268136937
2013-07-01,retail_sales_nominal,107.1927389660145
2013-07-01,ipc,98.72693487771818
2013-08-01,industrial_production,96.66396882038362
2013-08-01,retail_sales_nominal,95.28058589904796
2013-08-01,ipc,97.19417061247681
2013-09-01,industrial_production,102.656821348514
2013-09-01,retail_sales_nominal,101.25945516777735
2013-09-01,ipc,94.71947413601153
2013-10-01,industrial_production,93.11445079214988
2013-10-01,retail_sales_nominal,99.90524090331085
2013-10-01,ipc,97.88093556018345
2013-11-01,industrial_production,114.29985145122258
2013-11-01,retail_sales_nominal,100.66396279989108
2013-11-01,ipc,100.41221757680053
2013-12-01,industrial_production,107.37381894228811
2013-12-01,retail_sales_nominal,96.82236516139707
2013-12-01,ipc,98.29968743461947
